Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1204,2013,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1011,2013,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,598,2013,Hassloch,Rhineland-Palatinate,Germany,67454
4,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,596,2013,Jackson,New Jersey,United States,08527
5,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,542,2013,Williamsburg,Virginia,United States,23185
6,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,512,2013,Arlington,Texas,United States,76011
7,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,494,2013,Austell,Georgia,United States,30168
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,478,2013,Charlotte,North Carolina,United States,28273
9,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,416,2013,Sandusky,Ohio,United States,44870
10,Intimidator-305,Kings Dominion,"Doswell, Va.",Intamin,2010,412,2013,Doswell,Virginia,United States,23047
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1139,2014,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1049,2014,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,764,2014,Hassloch,Rhineland-Palatinate,Germany,67454
4,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,579,2014,Mason,Ohio,United States,45040
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,563,2014,Jackson,New Jersey,United States,08527
6,Leviathan,Canada’s Wonderland,"Vaughan, Ont., Canada",B&M,2012,500,2014,Vaughan,Ontario,Canada,L6A 1S6
7,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,484,2014,Williamsburg,Virginia,United States,23185
8,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,465,2014,Arlington,Texas,United States,76011
9,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,422,2014,Austell,Georgia,United States,30168
10,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,387,2014,Charlotte,North Carolina,United States,28273
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1205,2015,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,929,2015,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,714,2015,Hassloch,Rhineland-Palatinate,Germany,67454
4,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,671,2015,Charlotte,North Carolina,United States,28273
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,650,2015,Jackson,New Jersey,United States,08527
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,597,2015,Williamsburg,Virginia,United States,23185
7,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,499,2015,Charlotte,North Carolina,United States,28273
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,491,2015,Vaughan,Ontario,Canada,L6A 1S6
9,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,462,2015,Stoke-on-Trent,England,United Kingdom,ST10 4DB
10,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,450,2015,Arlington,Texas,United States,76011
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1126,2016,Charlotte,North Carolina,United States,28273
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1122,2016,Sandusky,Ohio,United States,44870
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,698,2016,Agawam,Massachusetts,United States,01001
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,613,2016,Hassloch,Rhineland-Palatinate,Germany,67454
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,454,2016,Jackson,New Jersey,United States,08527
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,397,2016,Williamsburg,Virginia,United States,23185
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,393,2016,Vaughan,Ontario,Canada,L6A 1S6
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,350,2016,Charlotte,North Carolina,United States,28273
9,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,330,2016,Mason,Ohio,United States,45040
10,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,329,2016,West Mifflin,Pennsylvania,United States,15122
11,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,311,2016,Stoke-on-Trent,England,United Kingdom,ST10 4DB
12,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,306,2016,Sandusky,Ohio,United States,44870
13,Banshee,Kings Island,"Mason, Ohio",B&M,2014,286,2016,Mason,Ohio,United States,45040
14,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,283,2016,Rust,Baden-Württemberg,Germany,77977
15,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,279,2016,Sandusky,Ohio,United States,44870
16,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,272,2016,Arlington,Texas,United States,76011
17,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,268,2016,Doswell,Virginia,United States,23047
18,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,265,2016,Agawam,Massachusetts,United States,01001
19,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,258,2016,Sandusky,Ohio,United States,44870
20,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,255,2016,Austell,Georgia,United States,30168
21,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,254,2016,San Antonio,Texas,United States,78257
22,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,203,2016,Tampa,Florida,United States,33612
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,202,2016,Valencia,California,United States,91355
24,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,198,2016,Vaughan,Ontario,Canada,L6A 1S6
25,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,178,2016,Brühl,North Rhine-Westphalia,Germany,50321
26,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,175,2016,Valencia,California,United States,91355
27,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,168,2016,Austell,Georgia,United States,30168
28,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,166,2016,Louisville,Kentucky,United States,40209
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,165,2016,Gothenburg,Västra Götalands,Sweden,402 22
30,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,144,2016,Williamsburg,Virginia,United States,23185
31,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,128,2016,Montreal,Quebec,Canada,H3C6A3
32,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,122,2016,Gurnee,Illinois,United States,60031
32,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,122,2016,Brühl,North Rhine-Westphalia,Germany,50321
34,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,113,2016,Santa Claus,Indiana,United States,47579
35,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,110,2016,Orlando,Florida,United States,32821
36,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012,107,2016,Pigeon Forge,Tennessee,United States,37863
37,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,105,2016,Allentown,Pennsylvania,United States,18104
38,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,99,2016,Gothenburg,Västra Götalands,Sweden,402 22
39,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,97,2016,Tampa,Florida,United States,33612
42,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,94,2016,Rust,Baden-Württemberg,Germany,77977
42,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,94,2016,Mexico City,Distrito Federal,Mexico,14200
42,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2016,Farmington,Utah,United States,84025
42,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,92,2016,Tampa,Florida,United States,33612
44,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,90,2016,Louisville,Kentucky,United States,40209
45,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,85,2016,Gurnee,Illinois,United States,60031
46,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989,81,2016,Vienna,Vienna,Austria,1020
47,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,80,2016,Sandusky,Ohio,United States,44870
48,Bizarro,Six Flags Great Adventure,"Jackson, N.J.",B&M,1999,74,2016,Jackson,New Jersey,United States,08527
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,72,2016,Lake Buena Vista,Florida,United States,32830
49,GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013,72,2016,Sandusky,Ohio,United States,44870
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1354,2017,Charlotte,North Carolina,United States,28273
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1129,2017,Sandusky,Ohio,United States,44870
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,705,2017,Agawam,Massachusetts,United States,01001
4,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,657,2017,San Antonio,Texas,United States,78257
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,575,2017,Hassloch,Rhineland-Palatinate,Germany,67454
6,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,481,2017,Vaughan,Ontario,Canada,L6A 1S6
7,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,442,2017,Jackson,New Jersey,United States,08527
8,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,381,2017,Mason,Ohio,United States,45040
9,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,379,2017,Arlington,Texas,United States,76011
10,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,375,2017,Sandusky,Ohio,United States,44870
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,374,2017,Williamsburg,Virginia,United States,23185
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,344,2017,West Mifflin,Pennsylvania,United States,15122
13,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,330,2017,Doswell,Virginia,United States,23047
14,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,291,2017,Austell,Georgia,United States,30168
14,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,291,2017,Agawam,Massachusetts,United States,01001
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,284,2017,Valencia,California,United States,91355
17,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,276,2017,Sandusky,Ohio,United States,44870
18,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,272,2017,Rust,Baden-Württemberg,Germany,77977
19,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,261,2017,Charlotte,North Carolina,United States,28273
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,254,2017,Stoke-on-Trent,England,United Kingdom,ST10 4DB
21,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,253,2017,Brühl,North Rhine-Westphalia,Germany,50321
22,Banshee,Kings Island,"Mason, Ohio",B&M,2014,244,2017,Mason,Ohio,United States,45040
23,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,238,2017,Sandusky,Ohio,United States,44870
24,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,235,2017,Hershey,Pennsylvania,United States,17033
25,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,217,2017,Valencia,California,United States,91355
26,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,209,2017,Austell,Georgia,United States,30168
27,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,200,2017,Tampa,Florida,United States,33612
28,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,184,2017,Vaughan,Ontario,Canada,L6A 1S6
29,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,181,2017,Tampa,Florida,United States,33612
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,181,2017,Gothenburg,Västra Götalands,Sweden,402 22
31,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,171,2017,Orlando,Florida,United States,32821
32,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,163,2017,Farmington,Utah,United States,84025
33,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,135,2017,Louisville,Kentucky,United States,40209
34,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,113,2017,Gurnee,Illinois,United States,60031
35,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,109,2017,Brühl,North Rhine-Westphalia,Germany,50321
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,104,2017,Williamsburg,Virginia,United States,23185
37,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,98,2017,Mexico City,Distrito Federal,Mexico,14200
38,Quimera,La Feria,"Mexico City, Mexico",Schwarzkopf,2007,93,2017,Mexico City,Distrito Federal,Mexico,72320
39,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,91,2017,Santa Claus,Indiana,United States,47579
40,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,84,2017,Gothenburg,Västra Götalands,Sweden,402 22
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,78,2017,Montreal,Quebec,Canada,H3C6A3
41,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,78,2017,Tampa,Florida,United States,33612
41,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,78,2017,Louisville,Kentucky,United States,40209
44,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,76,2017,Allentown,Pennsylvania,United States,18104
45,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,72,2017,Rust,Baden-Württemberg,Germany,77977
46,Shock Wave,Six Flags Over Texas,"Arlington, Texas",Schwarzkopf,1978,68,2017,Arlington,Texas,United States,76011
46,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,68,2017,Gurnee,Illinois,United States,60031
48,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,62,2017,Williamsburg,Virginia,United States,23185
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,61,2017,Lake Buena Vista,Florida,United States,32830
50,Full Throttle,Six Flags Magic Mountain,"Valencia, Calif.",Premier,2013,59,2017,Valencia,California,United States,91355
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1222,2018,Charlotte,North Carolina,United States,28273
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1156,2018,Sandusky,Ohio,United States,44870
3,Steel Vengeance,Cedar Point,"Sandusky, Ohio",Rocky Mountain,2018,829,2018,Sandusky,Ohio,United States,44870
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,540,2018,Hassloch,Rhineland-Palatinate,Germany,67454
5,Superman: The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,535,2018,Agawam,Massachusetts,United States,01001
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,522,2018,Williamsburg,Virginia,United States,23185
7,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",Rocky Mountain,2013,483,2018,San Antonio,Texas,United States,78257
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,410,2018,Vaughan,Ontario,Canada,L6A 1S6
9,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,390,2018,Sandusky,Ohio,United States,44870
10,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,347,2018,Mason,Ohio,United States,45040
11,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,345,2018,Jackson,New Jersey,United States,08527
12,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,344,2018,Doswell,Virginia,United States,23047
13,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan/Arrow,2001,324,2018,West Mifflin,Pennsylvania,United States,15122
14,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,300,2018,Sandusky,Ohio,United States,44870
15,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,283,2018,Brühl,North Rhine-Westphalia,Germany,50321
16,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,278,2018,Sandusky,Ohio,United States,44870
17,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,251,2018,Orlando,Florida,United States,32821
18,Time Traveler,Silver Dollar City,"Branson, Mo.",Mack,2018,248,2018,Branson,Missouri,United States,65616
19,Blue Fire,Europa-Park,"Rust, Germany",Mack,2009,244,2018,Rust,Baden-Württemberg,Germany,77977
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,238,2018,Stoke-on-Trent,England,United Kingdom,ST10 4DB
21,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,234,2018,Gothenburg,Västra Götalands,Sweden,402 22
22,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,233,2018,Charlotte,North Carolina,United States,28273
23,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,222,2018,Arlington,Texas,United States,76011
24,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",Rocky Mountain,2015,212,2018,Valencia,California,United States,91355
25,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,211,2018,Austell,Georgia,United States,30168
26,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,201,2018,Austell,Georgia,United States,30168
27,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,187,2018,Vaughan,Ontario,Canada,L6A 1S6
28,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,186,2018,Tampa,Florida,United States,33612
29,Banshee,Kings Island,"Mason, Ohio",B&M,2014,175,2018,Mason,Ohio,United States,45040
30,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,173,2018,Hershey,Pennsylvania,United States,17033
31,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2001,162,2018,Valencia,California,United States,91355
32,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,160,2018,Williamsburg,Virginia,United States,23185
33,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",Rocky Mountain,2015,158,2018,Agawam,Massachusetts,United States,01001
34,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,137,2018,Brühl,North Rhine-Westphalia,Germany,50321
35,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,132,2018,Tampa,Florida,United States,33612
36,Verbolten,Busch Gardens Williamsburg,"Williamsburg, Va.",Zierer,2012,116,2018,Williamsburg,Virginia,United States,23185
37,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,115,2018,Tampa,Florida,United States,33612
38,Twisted Timbers,Kings Dominion,"Doswell, Va.",Rocky Mountain,2018,109,2018,Doswell,Virginia,United States,23047
39,Jetline,Gröna Lund,"Stockholm, Sweden",Schwarzkopf,1988,99,2018,Stockholm,Stockholms,Sweden,115 21
39,Superman Ride of Steel,Six Flags Great America,"Upper Marlsboro, Md.",Intamin,2000,99,2018,Gurnee,Illinois,United States,60031
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,97,2018,Montreal,Quebec,Canada,H3C6A3
42,Lisebergbanan,Liseberg,"Gothemburg, Sweden",Schwarzkopf,1987,96,2018,Gothenburg,Västra Götalands,Sweden,402 22
43,Griffon,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,2007,93,2018,Williamsburg,Virginia,United States,23185
44,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2018,Farmington,Utah,United States,84025
45,Shambhala,PortAventura,"Salou, Spain",B&M,2012,89,2018,Tarragona,Catalonia,Spain,43840
46,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,82,2018,Lake Buena Vista,Florida,United States,32830
47,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",Rocky Mountain,2016,81,2018,Louisville,Kentucky,United States,40209
48,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,78,2018,Gurnee,Illinois,United States,60031
49,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,72,2018,Santa Claus,Indiana,United States,47579
50,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,70,2018,Gurnee,Illinois,United States,60031
1,Boulder Dash,Lake Compounce,"Bristol, Conn.",CCI,2000,1333,2013,Bristol,Connecticut,United States,06010
2,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2006,1302,2013,Jackson,New Jersey,United States,08527
3,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn/PTC-Schmeck,1985,1088,2013,Elysburg,Pennsylvania,United States,17824
4,The Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,1086,2013,Santa Claus,Indiana,United States,47579
5,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",GCII,2004,923,2013,Pigeon Forge,Tennessee,United States,37863
