Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code,material_type,seating_type,speed,height,length,num_inversions,manufacturer,status
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1204,2013,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1011,2013,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,598,2013,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,596,2013,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
5,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,542,2013,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
6,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,512,2013,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
7,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,494,2013,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,478,2013,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
9,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,416,2013,Sandusky,Ohio,United States,44870,Steel,Sit Down,116.0,63.0,1556.0,0.0,Arrow,status.operating
10,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,412,2013,Doswell,Virginia,United States,23047,Steel,Sit Down,145.0,93.0,1555.0,0.0,Intamin,status.operating
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1139,2014,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1049,2014,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,764,2014,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,579,2014,Mason,Ohio,United States,45040,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,563,2014,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Leviathan,Canada’s Wonderland,"Vaughan, Ont., Canada",B&M,2012,500,2014,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
7,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,484,2014,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
8,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,465,2014,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
9,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,422,2014,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
10,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,387,2014,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1205,2015,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,929,2015,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,714,2015,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,671,2015,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,650,2015,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,597,2015,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
7,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,499,2015,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,491,2015,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
9,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,462,2015,Stoke-on-Trent,England,United Kingdom,ST10 4DB,Steel,Inverted,81.0,13.0,716.0,4.0,B&M,status.operating
10,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,450,2015,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1126,2016,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1122,2016,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,698,2016,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,613,2016,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,454,2016,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,397,2016,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,393,2016,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,350,2016,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
9,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,330,2016,Mason,Ohio,United States,45040,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,status.operating
10,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,329,2016,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,132.0,70.0,975.0,0.0,Arrow,status.operating
11,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,311,2016,Stoke-on-Trent,England,United Kingdom,ST10 4DB,Steel,Inverted,81.0,13.0,716.0,4.0,B&M,status.operating
12,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,306,2016,Sandusky,Ohio,United States,44870,Steel,Sit Down,113.0,32.0,1356.0,2.0,Intamin,status.operating
13,Banshee,Kings Island,"Mason, Ohio",B&M,2014,286,2016,Mason,Ohio,United States,45040,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,status.operating
14,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,283,2016,Rust,Baden-Württemberg,Germany,77977,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,status.operating
15,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,279,2016,Sandusky,Ohio,United States,44870,Steel,Sit Down,116.0,63.0,1556.0,0.0,Arrow,status.operating
16,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,272,2016,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
17,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,268,2016,Doswell,Virginia,United States,23047,Steel,Sit Down,145.0,93.0,1555.0,0.0,Intamin,status.operating
18,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,265,2016,Agawam,Massachusetts,United States,01001,Hybrid,Sit Down,89.0,33.0,1012.0,3.0,RMC,status.operating
19,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,258,2016,Sandusky,Ohio,United States,44870,Steel,Sit Down,192.0,128.0,853.0,0.0,Intamin,status.operating
20,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,255,2016,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
21,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,254,2016,San Antonio,Texas,United States,78257,Hybrid,Sit Down,113.0,55.0,996.0,1.0,RMC,status.operating
22,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,203,2016,Tampa,Florida,United States,33612,Steel,Inverted,96.0,46.0,1214.0,7.0,B&M,status.operating
23,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,202,2016,Valencia,California,United States,91355,Steel,4th Dimension,122.0,53.0,1100.0,6.0,Arrow,status.operating
24,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,198,2016,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,status.operating
25,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,178,2016,Brühl,North Rhine-Westphalia,Germany,50321,Steel,Inverted,80.0,26.0,,4.0,B&M,status.operating
26,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,175,2016,Valencia,California,United States,91355,Hybrid,Sit Down,92.0,37.0,1520.0,2.0,RMC,status.operating
27,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,168,2016,Austell,Georgia,United States,30168,Steel,Sit Down,81.0,25.0,992.0,2.0,Schwarzkopf,status.operating
28,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,166,2016,Louisville,Kentucky,United States,40209,Steel,Sit Down,84.0,31.0,836.0,3.0,RMC,status.operating
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,165,2016,Gothenburg,Västra Götalands,Sweden,402 22,Steel,Sit Down,100.0,41.0,1381.0,7.0,Mack,status.operating
30,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,144,2016,Williamsburg,Virginia,United States,23185,Steel,Inverted,108.0,60.0,,6.0,B&M,status.operating
31,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,128,2016,Montreal,Quebec,Canada,H3C6A3,Steel,Sit Down,110.0,53.0,1231.0,0.0,B&M,status.operating
32,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,122,2016,Gurnee,Illinois,United States,60031,Steel,Sit Down,118.0,62.0,1542.0,0.0,B&M,status.operating
32,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,122,2016,Brühl,North Rhine-Westphalia,Germany,50321,Steel,Sit Down,117.0,30.0,1320.0,0.0,Intamin,status.operating
34,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,113,2016,Santa Claus,Indiana,United States,47579,Steel,Wing,100.0,43.0,925.0,4.0,B&M,status.operating
35,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,110,2016,Orlando,Florida,United States,32821,Steel,Sit Down,115.0,61.0,1450.0,0.0,B&M,status.operating
36,Wild Eagle,Dollywood,"Pigeon Forge, Tenn.",B&M,2012,107,2016,Pigeon Forge,Tennessee,United States,37863,Steel,Wing,98.0,64.0,953.0,4.0,B&M,status.operating
37,Steel Force,Dorney Park,"Allentown, Pa.",Morgan,1997,105,2016,Allentown,Pennsylvania,United States,18104,Steel,Sit Down,120.0,61.0,1706.0,0.0,Morgan,status.operating
38,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,99,2016,Gothenburg,Västra Götalands,Sweden,402 22,Steel,Sit Down,80.0,45.0,1548.0,0.0,Schwarzkopf,status.operating
39,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,97,2016,Tampa,Florida,United States,33612,,,,,,,,
42,Euro-Mir,Europa-Park,"Rust, Germany",Mack,1997,94,2016,Rust,Baden-Württemberg,Germany,77977,Steel,Spinning,80.0,28.0,980.0,0.0,Mack,status.operating
42,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,94,2016,Mexico City,Distrito Federal,Mexico,14200,Hybrid,Sit Down,93.0,36.0,910.0,3.0,RMC,status.operating
42,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,92,2016,Farmington,Utah,United States,84025,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,status.operating
42,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,92,2016,Tampa,Florida,United States,33612,Steel,Sit Down,96.0,43.0,1210.0,7.0,B&M,status.operating
44,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,90,2016,Louisville,Kentucky,United States,40209,Steel,Sit Down,90.0,31.0,765.0,0.0,Chance Rides,status.operating
45,Whizzer,Six Flags Great America,"Gurnee, Ill.",Schwarzkopf,1976,85,2016,Gurnee,Illinois,United States,60031,Steel,Sit Down,68.0,21.0,945.0,0.0,Schwarzkopf,status.operating
46,Olympia Looping,Weiner Prater,"Vienna, Austria",Schwarzkopf,1989,81,2016,Vienna,Vienna,Austria,1020,Steel,Sit Down,80.0,38.0,1250.0,5.0,Schwarzkopf,status.operating
47,Raptor,Cedar Point,"Sandusky, Ohio",B&M,1994,80,2016,Sandusky,Ohio,United States,44870,Steel,Inverted,92.0,42.0,1155.0,6.0,B&M,status.operating
48,Bizarro,Six Flags Great Adventure,"Jackson, N.J.",B&M,1999,74,2016,Jackson,New Jersey,United States,08527,Steel,Floorless,98.0,43.0,1214.0,7.0,B&M,status.operating
49,Expedition Everest,Disney’s Animal Kingdom,"Orlando, Fla.",Vekoma,2006,72,2016,Lake Buena Vista,Florida,United States,32830,Steel,Sit Down,80.0,34.0,1341.0,0.0,Vekoma,status.operating
49,GateKeeper,Cedar Point,"Sandusky, Ohio",B&M,2013,72,2016,Sandusky,Ohio,United States,44870,Steel,Wing,108.0,52.0,1269.0,6.0,B&M,status.operating
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1354,2017,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1129,2017,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,705,2017,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
4,Iron Rattler,Six Flags Fiesta Texas,"San Antonio, Texas",RMC,2013,657,2017,San Antonio,Texas,United States,78257,Hybrid,Sit Down,113.0,55.0,996.0,1.0,RMC,status.operating
5,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,575,2017,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
6,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,481,2017,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
7,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,442,2017,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
8,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,381,2017,Mason,Ohio,United States,45040,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,status.operating
9,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",RMC,2011,379,2017,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
10,Maverick,Cedar Point,"Sandusky, Ohio",Intamin,2007,375,2017,Sandusky,Ohio,United States,44870,Steel,Sit Down,113.0,32.0,1356.0,2.0,Intamin,status.operating
11,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,374,2017,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
12,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,344,2017,West Mifflin,Pennsylvania,United States,15122,Steel,Sit Down,132.0,70.0,975.0,0.0,Arrow,status.operating
13,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,330,2017,Doswell,Virginia,United States,23047,Steel,Sit Down,145.0,93.0,1555.0,0.0,Intamin,status.operating
14,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,291,2017,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
14,Wicked Cyclone,Six Flags New England,"Agawam, Mass.",RMC,2015,291,2017,Agawam,Massachusetts,United States,01001,Hybrid,Sit Down,89.0,33.0,1012.0,3.0,RMC,status.operating
16,Twisted Colossus,Six Flags Magic Mountain,"Valencia, Calif.",RMC,2015,284,2017,Valencia,California,United States,91355,Hybrid,Sit Down,92.0,37.0,1520.0,2.0,RMC,status.operating
17,Top Thrill Dragster,Cedar Point,"Sandusky, Ohio",Intamin,2003,276,2017,Sandusky,Ohio,United States,44870,Steel,Sit Down,192.0,128.0,853.0,0.0,Intamin,status.operating
18,Blue Fire,Europa-Park,"Rust, Germany",Mack,2006,272,2017,Rust,Baden-Württemberg,Germany,77977,Steel,Sit Down,100.0,38.0,1056.0,4.0,Mack,status.operating
19,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,261,2017,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
20,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,254,2017,Stoke-on-Trent,England,United Kingdom,ST10 4DB,Steel,Inverted,81.0,13.0,716.0,4.0,B&M,status.operating
21,Taron,Phantasialand,"Brühl, Germany",Intamin,2016,253,2017,Brühl,North Rhine-Westphalia,Germany,50321,Steel,Sit Down,117.0,30.0,1320.0,0.0,Intamin,status.operating
22,Banshee,Kings Island,"Mason, Ohio",B&M,2014,244,2017,Mason,Ohio,United States,45040,Steel,Inverted,110.0,51.0,1260.0,7.0,B&M,status.operating
23,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,238,2017,Sandusky,Ohio,United States,44870,Steel,Sit Down,116.0,63.0,1556.0,0.0,Arrow,status.operating
24,Skyrush,Hersheypark,"Hershey, Pa.",Intamin,2012,235,2017,Hershey,Pennsylvania,United States,17033,Steel,Sit Down,120.0,60.0,1100.0,0.0,Intamin,status.operating
25,X2,Six Flags Magic Mountain,"Valencia, Calif.",Arrow,2002,217,2017,Valencia,California,United States,91355,Steel,4th Dimension,122.0,53.0,1100.0,6.0,Arrow,status.operating
26,Mind Bender,Six Flags Over Georgia,"Austell, Ga.",Schwarzkopf,1978,209,2017,Austell,Georgia,United States,30168,Steel,Sit Down,81.0,25.0,992.0,2.0,Schwarzkopf,status.operating
27,Montu,Busch Gardens Tampa,"Tampa, Fla.",B&M,1996,200,2017,Tampa,Florida,United States,33612,Steel,Inverted,96.0,46.0,1214.0,7.0,B&M,status.operating
28,Behemoth,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2008,184,2017,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,124.0,70.0,1621.0,0.0,B&M,status.operating
29,Cheetah Hunt,Busch Gardens Tampa,"Tampa, Fla.",Intamin,2011,181,2017,Tampa,Florida,United States,33612,,,,,,,,
29,Helix,Liseberg,"Gothenburg, Sweden",Mack,2014,181,2017,Gothenburg,Västra Götalands,Sweden,402 22,Steel,Sit Down,100.0,41.0,1381.0,7.0,Mack,status.operating
31,Mako,SeaWorld Orlando,"Orlando, Fla.",B&M,2016,171,2017,Orlando,Florida,United States,32821,Steel,Sit Down,115.0,61.0,1450.0,0.0,B&M,status.operating
32,Cannibal,Lagoon,"Farmington, Utah",Lagoon,2015,163,2017,Farmington,Utah,United States,84025,Steel,Sit Down,113.0,64.0,835.0,4.0,ART Engineering,status.operating
33,Storm Chaser,Kentucky Kingdom,"Louisville, Ky.",RMC,2016,135,2017,Louisville,Kentucky,United States,40209,Steel,Sit Down,84.0,31.0,836.0,3.0,RMC,status.operating
34,Raging Bull,Six Flags Great America,"Gurnee, Ill.",B&M,1999,113,2017,Gurnee,Illinois,United States,60031,Steel,Sit Down,118.0,62.0,1542.0,0.0,B&M,status.operating
35,Black Mamba,Phantasialand,"Brühl, Germany",B&M,2006,109,2017,Brühl,North Rhine-Westphalia,Germany,50321,Steel,Inverted,80.0,26.0,,4.0,B&M,status.operating
36,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1997,104,2017,Williamsburg,Virginia,United States,23185,Steel,Inverted,108.0,60.0,,6.0,B&M,status.operating
37,Medusa Steel Coaster,Six Flags Mexico,"Mexico City, Mexico",RMC,2014,98,2017,Mexico City,Distrito Federal,Mexico,14200,Hybrid,Sit Down,93.0,36.0,910.0,3.0,RMC,status.operating
38,Quimera,La Feria,"Mexico City, Mexico",Schwarzkopf,2007,93,2017,Mexico City,Distrito Federal,Mexico,72320,Steel,Sit Down,85.0,34.0,1050.0,3.0,Schwarzkopf,status.operating
39,Thunderbird,Holiday World,"Santa Claus, Ind.",B&M,2015,91,2017,Santa Claus,Indiana,United States,47579,Steel,Wing,100.0,43.0,925.0,4.0,B&M,status.operating
40,Lisebergbanan,Liseberg,"Gothenburg, Sweden",Schwarz,1987,84,2017,Gothenburg,Västra Götalands,Sweden,402 22,Steel,Sit Down,80.0,45.0,1548.0,0.0,Schwarzkopf,status.operating
41,Goliath,La Ronde,"Montreal, Quebec, Canada",B&M,2006,78,2017,Montreal,Quebec,Canada,H3C6A3,Steel,Sit Down,110.0,53.0,1231.0,0.0,B&M,status.operating
41,Kumba,Busch Gardens Tampa,"Tampa, Fla.",B&M,1993,78,2017,Tampa,Florida,United States,33612,Steel,Sit Down,96.0,43.0,1210.0,7.0,B&M,status.operating
41,Lightning Run,Kentucky Kingdom,"Louisville, Ky.",Chance,2014,78,2017,Louisville,Kentucky,United States,40209,Steel,Sit Down,90.0,31.0,765.0,0.0,Chance Rides,status.operating
